date,year,month,quarter,brand,therapy_area,region,territory,rep_id,units_sold,revenue_usd,market_share_pct
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,5511,352439.84,10.59
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,5518,342292.03,8.75
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,6069,369301.56,23.27
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,6683,412033.64,15.54
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,6255,371314.53,20.21
2021-06-01,2021,6,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,6367,373533.16,29.78
2021-07-01,2021,7,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,7054,433983.63,13.98
2021-08-01,2021,8,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,6605,395860.65,17.85
2021-09-01,2021,9,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,5945,350480.16,26.13
2021-10-01,2021,10,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,6110,363658.23,13.49
2021-11-01,2021,11,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,5619,332732.74,9.85
2021-12-01,2021,12,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,5594,339826.79,14.95
2022-01-01,2022,1,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,5950,364680.96,11.87
2022-02-01,2022,2,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,5394,332600.77,30.31
2022-03-01,2022,3,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,5732,353488.0,27.39
2022-04-01,2022,4,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,6471,397969.04,23.2
2022-05-01,2022,5,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,6513,392958.78,28.92
2022-06-01,2022,6,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,7187,429998.78,27.29
2022-07-01,2022,7,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,6650,390741.42,12.48
2022-08-01,2022,8,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,6305,390393.04,29.42
2022-09-01,2022,9,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,7256,438046.13,20.94
2022-10-01,2022,10,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,6360,382161.51,27.38
2022-11-01,2022,11,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,6319,391872.97,29.51
2022-12-01,2022,12,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,5727,340740.38,15.63
2023-01-01,2023,1,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,6170,380054.01,10.64
2023-02-01,2023,2,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,6668,406380.6,13.47
2023-03-01,2023,3,Q1,BrandA,Cardiovascular,North,N-101,REP_N-101,6466,383614.87,18.25
2023-04-01,2023,4,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,7435,449770.67,27.63
2023-05-01,2023,5,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,7254,448039.72,28.66
2023-06-01,2023,6,Q2,BrandA,Cardiovascular,North,N-101,REP_N-101,7516,462606.69,8.17
2023-07-01,2023,7,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,7348,458497.48,20.26
2023-08-01,2023,8,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,8292,505773.29,18.02
2023-09-01,2023,9,Q3,BrandA,Cardiovascular,North,N-101,REP_N-101,7216,466671.73,13.33
2023-10-01,2023,10,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,6534,388578.98,10.88
2023-11-01,2023,11,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,7143,429312.3,16.1
2023-12-01,2023,12,Q4,BrandA,Cardiovascular,North,N-101,REP_N-101,6275,379711.57,30.63
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,5420,285799.43,14.36
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,4889,270770.02,13.86
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,5511,291404.16,31.35
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,6639,354338.76,17.43
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,6338,346006.23,29.41
2021-06-01,2021,6,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,5809,304367.91,23.15
2021-07-01,2021,7,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,6028,325287.14,27.08
2021-08-01,2021,8,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,5938,327318.42,20.06
2021-09-01,2021,9,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,6155,320006.42,21.85
2021-10-01,2021,10,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,5763,310721.86,19.82
2021-11-01,2021,11,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,5551,299740.29,12.69
2021-12-01,2021,12,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,5756,314037.49,25.34
2022-01-01,2022,1,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,6033,316065.15,14.74
2022-02-01,2022,2,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,5999,313745.7,8.58
